Name,variable,m/z
5-hydroxy-indoleacetate,M.plus.H,192.06497
5-hydroxyindole-acetylglycine,M.plus.H,249.086433
5-hydroxy-indolepyruvate,M.plus.H,220.059884
5-hydroxy-kynureamine,M.plus.H,225.086433
5-Hydroxykynurenine,M.plus.H,225.086433
5-hydroxy-N-formylkynurenine,M.plus.H,253.081348
5-Methoxy-1H-indole-3-carbaldehyde,M.plus.H,176.070055
5-methoxyindole-3 acetic acid,M.plus.H,206.08062
5-methoxy-indoleacetate,M.plus.H,206.08062
5-methoxytryptamine,M.plus.H,191.11734
5-methoxytryptamine,M.plus.H,191.11734
5-methoxytryptophol,M.plus.H,192.101355
6-hydroxy-kynurenate,M.plus.H,206.044234
6-hydroxymelatonin,M.plus.H,249.122819
"7,8-dihydroxykynurenate",M.plus.H,222.039149
"7,8-hidydro-7,8-dihydroxykynurenate",M.plus.H,224.054799
7-hydroxy-ABA,M.plus.H,281.1378
7-hydroxymelatonin,M.plus.H,249.122819
8-methoxy-kynurenate,M.plus.H,220.059884
"9,10-dihydrojasmonic acid",M.plus.H,213.147971
9-hydroxy-ABA,M.plus.H,281.1378
Abscisic acid (ABA),M.plus.H,265.142886
Acetoacetyl-CoA,M.plus.H,852.143066
Acetyl-CoA,M.plus.H,810.132501
Acetylindoxyl,M.plus.H,176.070055
Aminomethylphosphonic Acid,M.plus.H,112.015257
Aminomuconate,M.plus.H,158.044234
Aniline,M.plus.H,94.064576
Anthranilate,M.plus.H,138.054405
Anthranilic acid,M.plus.H,138.054405
Betalamic acid,M.plus.H,212.054799
Brassinolide,M.plus.H,481.351816
Bufotenine,M.plus.H,205.13299
Cadaverine,M.plus.H,103.122425
Caldohexamine,M.plus.H,303.322522
Caldopentamine,M.plus.H,246.264673
Castasterone,M.plus.H,465.356901
Cinnamoyl serotonin,M.plus.H,307.143554
Cinnavalininate,M.plus.H,301.044962
Cis-12-oxo-phytodienoic acid,M.plus.H,293.210571
Crotonyl-CoA,M.plus.H,836.148152
Cyclic (3)-hydroxymelatonin,M.plus.H,249.122819
Cyclic-melatonin,M.plus.H,231.112254
Cyclo-dopa,M.plus.H,196.059884
Cyclo-dopa-5-O-glucoside,M.plus.H,358.112708
Dihydrophaseic acid,M.plus.H,283.15345
Dihydrozeatin,M.plus.H,222.134387
Dihydrozeatin riboside-O-glucoside,M.plus.H,516.229469
Dihydrozeatin-glucoside,M.plus.H,384.18721
Dinor-12-oxo-phytodienoic acid,M.plus.H,289.179271
Dolichosterone,M.plus.H,463.341251
Dopamine,M.plus.H,154.085705
Dopaquinone,M.plus.H,196.059884
Epinephrine,M.plus.H,184.09627
Feruloyl serotonin,M.plus.H,353.149034
Formyl-5-hydroxy-kynureamine,M.plus.H,209.091519
Formylanthranilate,M.plus.H,166.04932
Formylkynurenine,M.plus.H,237.086433
Formyl-n-acetyl-5-methoxykynureamine,M.plus.H,265.117734
Gamma-oxalo-crotonate,M.plus.H,159.02825
Gibberellin A1,M.plus.H,349.164015
Gibberellin A15,M.plus.H,345.205486
Gibberellin A19,M.plus.H,363.179665
Gibberellin A24,M.plus.H,347.18475
Gibberellin A29,M.plus.H,349.164015
Gibberellin A3 (GA3),M.plus.H,347.148365
Gibberellin A34,M.plus.H,349.164015
Gibberellin A4,M.plus.H,333.1691
Gibberellin A44,M.plus.H,347.18475
Gibberellin A5,M.plus.H,331.15345
Gibberellin A51,M.plus.H,333.1691
Gibberellin A53,M.plus.H,349.200401
Gibberellin A6,M.plus.H,347.148365
Gibberellin A8,M.plus.H,365.15893
Glucobrassicin,M.plus.H,449.067749
Glutaryl CoA,M.plus.H,882.153631
Glyphosate,M.plus.H,170.020736
Homobrassinolide,M.plus.H,495.367466
Homocastasterone,M.plus.H,479.372551
Homodolicholide,M.plus.H,493.351816
Homodolichosterone,M.plus.H,477.356901
Hydroxymelatonin,M.plus.H,249.122819
IAA alanine,M.plus.H,247.107169
IAA aspartate,M.plus.H,451.134171
IAA glutamate,M.plus.H,465.149821
IAA glycine,M.plus.H,233.091519
IAA leucine,M.plus.H,289.154119
IAA phenylalanine,M.plus.H,323.138469
IAA valine,M.plus.H,290.125559
Indol-3-yl-lactate,M.plus.H,206.08062
Indole,M.plus.H,118.064576
Indole-3-acetaldehyde,M.plus.H,160.07514
Indole-3-acetaldoxime,M.plus.H,175.086039
Indole-3-acetamide,M.plus.H,175.086039
Indole-3-acetic acid (IAA),M.plus.H,176.070055
Indole-3-acetonitrile,M.plus.H,157.075475
Indole-3-butyric acid (IBA),M.plus.H,204.101355
Indole-3-ethanol,M.plus.H,162.09079
Indole-3-thiohydroximate,M.plus.H,207.058111
Indolepyruvate,M.plus.H,204.06497
Indolylmethyldesulfoglucosinolate,M.plus.H,369.110934
Indoxyl,M.plus.H,134.05949
Isophenoxazine,M.plus.H,213.065304
JA-isoleucine,M.plus.H,323.20856
JA-pheylalanine,M.plus.H,361.187824
Jasmonic acid (JA),M.plus.H,211.132321
JA-tryptophan,M.plus.H,400.198723
JA-valine,M.plus.H,313.187824
Karrikin 11,M.plus.H,151.038421
Karrikin 11,M.plus.H,173.0439
Karrikin 2,M.plus.H,137.02277
Karrikin 3,M.plus.H,165.054071
Karrikin 4,M.plus.H,181.048985
Karrikin 5,M.plus.H,151.038421
Karrikin 6,M.plus.H,167.033335
Kinetin (KIN),M.plus.H,216.087436
Kinetin-9-glucoside,M.plus.H,378.14026
Kinetin-riboside,M.plus.H,348.129695
Kynuramine,M.plus.H,165.10169
Kynurenate,M.plus.H,190.04932
Kynurenine,M.plus.H,209.091519
Levodopa,M.plus.H,198.075534
MEL-Ala,M.plus.H,304.165018
MEL-Arg,M.plus.H,397.291616
MEL-Asn,M.plus.H,347.170832
MEL-Asp,M.plus.H,348.154847
Melatonin (MEL),M.plus.H,233.127904
MEL-Cys,M.plus.H,336.137089
MEL-Gln,M.plus.H,361.186482
MEL-Glu,M.plus.H,362.170497
MEL-Gly,M.plus.H,290.149368
MEL-His,M.plus.H,370.186816
MEL-Ile,M.plus.H,346.211968
MEL-Leu,M.plus.H,346.211968
MEL-Lys,M.plus.H,361.222867
MEL-Met,M.plus.H,364.168389
MEL-Phe,M.plus.H,380.196318
MEL-Pro,M.plus.H,330.180668
MEL-Ser,M.plus.H,311.089507
MEL-Thr,M.plus.H,334.175583
MEL-Trp,M.plus.H,419.207217
MEL-Tyr,M.plus.H,396.191233
MEL-Val,M.plus.H,332.196318
Meta-topolin,M.plus.H,242.103086
Meta-topolin riboside,M.plus.H,406.135174
Meta-topolin-9-glucoside,M.plus.H,420.150825
N6-benzyladenine,M.plus.H,226.108172
N6-benzyladenine riboside,M.plus.H,226.108172
"N6-benzyladenine-7,9-diglucoside",M.plus.H,552.229469
N6-benzyladenine-7-glucoside,M.plus.H,388.160995
N6-benzyladenine-9-glucoside,M.plus.H,390.176645
N6-isopentenyladenine,M.plus.H,520.203254
N6-isopentenyladenine-7-glucoside,M.plus.H,220.118737
N6-isopentenyladenosine,M.plus.H,366.176645
N6-N2-formyl-5-methoxykynuramine,M.plus.H,416.132412
N-acetylisatin,M.plus.H,190.04932
N-Acetylserotonin,M.plus.H,219.112254
N-caffeoyl Melatonin,M.plus.H,395.159598
N-cinnamoyl Melatonin,M.plus.H,363.169769
N-coumaroyl Melatonin,M.plus.H,379.164684
Neophaseic acid,M.plus.H,281.1378
N-feruloyl Melatonin,M.plus.H,409.175248
N-hydroxy-tryptamine,M.plus.H,280.129975
Nicotinic acid mononucleotide,M.plus.H,336.047345
N-methylserotonin,M.plus.H,191.11734
N-methyltryptamine,M.plus.H,175.122425
Norbrassinolide,M.plus.H,467.336166
Norepinephrine,M.plus.H,170.08062
N-sinapoyl Melatonin,M.plus.H,439.185813
Octopamine ,M.plus.H,154.085705
olicholide,M.plus.H,479.336166
Orobanchol,M.plus.H,347.148365
Orobanchyl acetate,M.plus.H,389.15893
Ortho-topolin,M.plus.H,242.103086
Ortho-topolin riboside,M.plus.H,390.14026
Ortho-tropolin-9-glucoside,M.plus.H,436.145739
Para-topolin riboside,M.plus.H,374.145345
Para-tropolin,M.plus.H,242.103086
Para-tropolin-9-glucoside,M.plus.H,452.140654
Phaseic acid,M.plus.H,281.1378
Picolinate,M.plus.H,124.038755
Putrescine,M.plus.H,89.106775
Quinolinate,M.plus.H,168.028584
Quinolinic acid,M.plus.H,168.028584
Salicyclic acid,M.plus.H,139.038421
Serotonin (5HT),M.plus.H,177.10169
Skatole,M.plus.H,132.080226
Sorgolactone,M.plus.H,317.1378
Spermidine,M.plus.H,146.164624
Spermine,M.plus.H,203.222473
Strigol,M.plus.H,347.148365
Strigyl acetate,M.plus.H,389.15893
Teasterone,M.plus.H,449.361987
Tetrakis(3-aminopropyl) ammonium,M.plus.H,247.272498
Thidiazuron,M.plus.H,221.048609
Thidiazuron (dimer),M.plus.H,441.090491
Thidiazuron (tetramer),M.plus.H,881.174255
Thidiazuron (trimer),M.plus.H,661.132373
Tris(3-aminopropyl) amine,M.plus.H,189.206823
Tryptamine,M.plus.H,161.106775
Tryptophan,M.plus.H,205.096604
Typhasterol,M.plus.H,449.361987
Tyramine,M.plus.H,138.09079
Tyrosine,M.plus.H,182.08062
Xanthurenate,M.plus.H,206.044234
Zeatin,M.plus.H,220.118737
Zeatin riboside,M.plus.H,352.160995
Zeatin riboside-O-glucoside,M.plus.H,514.213819
Zeatin-7-glucoside,M.plus.H,384.18721
Zeatin-9-glucoside,M.plus.H,382.17156
Zeatin-O-glucoside,M.plus.H,382.17156
